conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
2043062344675397897,Fri Apr 17 04:57:11 +0000 2026,1,@Ritzhy1 @kittiescryhere @wroofwoof @MastinSaurus @sampahfhui Ngetik dulu yg bener nyusun kata2nya aja belum rapih gitu. Isi otak orang ya harus diatur oleh yang punya otak lah (kalo punya ya). Mana bisa orang lain ngatur isi otak orang lain? Pinter dikit knp sih. Emg bener ya berdebat dengan orang bodoh itu ga akan berakhir dgn benar.,2045003618722738458,,Ritzhy1,in,,0,1,0,https://x.com/undefined/status/2045003618722738458,1445061903886082049,
2043062344675397897,Sat Apr 18 22:09:56 +0000 2026,0,@alduin_kai @oddlilieth @sampahfhui Cenderung beragama hanya sebatas tulisan di KTP saja. Beragama tapi mungkin tak paham sirah Nabi shallallahu 'alaihi wa sallam sehingga nama hanyalah nama. Beragama tapi minim akhlak. Lihatlah perbuatan mereka yang menganggap lucu dalam mengomentari teman dan dosen mereka.,2045625906753163461,,alduin_kai,in,,0,0,0,https://x.com/undefined/status/2045625906753163461,694684821956591616,
2043720262638784863,Sat Apr 18 18:09:00 +0000 2026,0,@anakkriminologi @senjatanuklir @screamerdiva @sampahfhui Tetep kaya bocil sih kalau info pembayaran ukt harus langsung ke ortu.,2045565271331782924,,anakkriminologi,in,,0,0,0,https://x.com/undefined/status/2045565271331782924,1978461314910695424,
2043062344675397897,Sat Apr 18 17:15:15 +0000 2026,0,@Phinn_Majid @MastinSaurus @sampahfhui Yg ini soal ghibah. https://t.co/S6j6iJIPY7,2045551748379725883,https://pbs.twimg.com/media/HGNCd4yaMAAjOuP.jpg,Phinn_Majid,in,,0,3,0,https://x.com/undefined/status/2045551748379725883,1880040833896050688,
2043062344675397897,Sat Apr 18 17:11:48 +0000 2026,0,@Phinn_Majid @MastinSaurus @sampahfhui Yg ini soal body Sydney Sweeney https://t.co/wTaJ5oPM1j,2045550878405628112,https://pbs.twimg.com/media/HGNBrLYbUAA-X9y.jpg,Phinn_Majid,in,,0,0,0,https://x.com/undefined/status/2045550878405628112,1880040833896050688,
2043062344675397897,Sat Apr 18 17:05:44 +0000 2026,0,@Phinn_Majid @MastinSaurus @sampahfhui Karena gua malah ngetik gua bahas pake fakta aja. https://t.co/JCQTiTdLGI,2045549350898798986,https://pbs.twimg.com/media/HGNASZ6bQAANExX.jpg,Phinn_Majid,in,,0,0,0,https://x.com/undefined/status/2045549350898798986,1880040833896050688,
2043062344675397897,Sat Apr 18 15:14:33 +0000 2026,0,@bebekqaleo @sampahfhui Jelek semua jink kek opet,2045521370579435798,,bebekqaleo,in,,0,0,0,https://x.com/undefined/status/2045521370579435798,1810327693692637184,
2043062344675397897,Sat Apr 18 11:44:46 +0000 2026,0,@sampahfhui Ini gw nggak membenarkan tapi gw penasaran di UI nya sendiri ada nggak ya grup cewek yg melecehkan laki-laki soalnya di SMA ku juga ada grup perempuan yg isinya ngelecehin laki-laki,2045468575792824418,,sampahfhui,in,,0,0,0,https://x.com/undefined/status/2045468575792824418,2022695685334929412,
2043062344675397897,Sat Apr 18 08:09:38 +0000 2026,0,@PutriAgust54679 @MastinSaurus @sampahfhui Muter di cuman obrolan karena memang cuman obrolan. Gak ada eskalasi. Objek dari awal emang gak usah tau,2045414435611976124,,PutriAgust54679,in,,0,0,0,https://x.com/undefined/status/2045414435611976124,1170453991,
2043062344675397897,Sat Apr 18 08:08:28 +0000 2026,0,@PutriAgust54679 @MastinSaurus @sampahfhui Dampak apa? Dampak moral? Itu gw gak peduli sekali lagi. Sejak kapan hukum ngatur moral?,2045414144921452575,,PutriAgust54679,in,,0,0,0,https://x.com/undefined/status/2045414144921452575,1170453991,
2043062344675397897,Sat Apr 18 08:07:47 +0000 2026,0,@PutriAgust54679 @MastinSaurus @sampahfhui Iya gak bakalan mati. Bilangin gih sekalian ke cewek stan K-Pop yg hobi ngomongin roti sobek. Manusia gak coli gak ngewe gak bakalan mati juga. Yakin tapi mau bilang hal yg sama?,2045413972263031276,,PutriAgust54679,in,,0,0,0,https://x.com/undefined/status/2045413972263031276,1170453991,
2043062344675397897,Sat Apr 18 08:05:59 +0000 2026,0,@PutriAgust54679 @MastinSaurus @sampahfhui Iya sekalian aja. Awasi semua obrolan kampus atau masyarakat yang tak bermoral biar gak ada tindakan kriminal samsek. Ban pornografi sekalian aja sekaligus film rating R kayak AADC Titanic,2045413518758044100,,PutriAgust54679,in,,0,0,0,https://x.com/undefined/status/2045413518758044100,1170453991,
2043062344675397897,Sat Apr 18 08:04:35 +0000 2026,0,@PutriAgust54679 @MastinSaurus @sampahfhui Burning Sun ada perencanaan kan? Obrolan tongkrongan dijamin ada perencanaan gak? Gak sekalian aja polisi mengawasi semua tongkrongan biar gak ada perencanaan tindakan kriminal dan makar samsek?,2045413168416227734,,PutriAgust54679,in,,0,1,0,https://x.com/undefined/status/2045413168416227734,1170453991,
2043062344675397897,Sat Apr 18 08:02:56 +0000 2026,0,@PutriAgust54679 @MastinSaurus @sampahfhui Dan baru tau juga ghibahin orang harus consent. Kalo gak jadi tindakan kriminal ,2045412751011651996,,PutriAgust54679,in,,0,1,0,https://x.com/undefined/status/2045412751011651996,1170453991,
2043062344675397897,Sat Apr 18 08:02:38 +0000 2026,0,@PutriAgust54679 @MastinSaurus @sampahfhui Banyak hal nggak harus jadi kriminal dulu baru dianggap salah. Ya makanya beda. Gw dari kemarin ngomongin kriminalisasi dan legalitas bukan masalah moral hitam dan putih. Soal moral gw malah gak peduli dari kemarin,2045412676550217890,,PutriAgust54679,in,,0,0,0,https://x.com/undefined/status/2045412676550217890,1170453991,
